label,text
0,Did Miley Cyrus and Liam Hemsworth secretly get married?
0,Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’
0,Celebrities Join Tax March in Protest of Donald Trump
0,Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles
0,Full List of 2018 Oscar Nominations – Variety
0,Here's What Really Happened When JFK Jr. Met Princess Diana
0,Biggest celebrity scandals of 2016
0,Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins
0,Taylor Swift Reportedly Reacts To Tom Hiddleston’s Golden Globes Win
0,"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?"
0,"Miley Cyrus, Liam Hemsworth Did NOT Get Married On Tybee Island, Despite Report"
0,Miley Cyrus Claims ‘Satan Is A Nice Guy; He’s Misunderstood’
0,Selena Gomez Had The Perfect Response To News Of Justin Bieber’s Engagement
0,Critics' Choice Awards 2018 Winners: The Complete List
0,"Jennifer Aniston, Justin Theroux Not Starting Dog Fostering And Adoption Business"
0,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source"
0,He’s Hired! Ben Affleck Enlists Best Friend Matt Damon To Be His Life Coach
0,Full statement: John McCain to vote no on Graham-Cassidy health care bill
0,Justin Bieber Despacito
0,Julia Roberts miracle baby at 50
0,Beyonce Sipping Tea Listening To Taylor Swift’s Album: Why She’s Loving The Kanye West Diss Tracks
0,"Blake Shelton, Gwen Stefani Talk 'Hookup' on 'The Voice'"
0,Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani
0,Pregnant Kate Middleton Hit With Cocaine Bombshell
0,Jen Aniston’s Split From Justin Theroux – What Brad Pitt Really Thinks About It
0,Emmys 2017: What the Nominees Are Saying
0,"Caitlyn Jenner Slams the Kardashians, Says She Didn't Trust Them to Know About Her Gender Reassignment Surgery"
0,Chris Brown does not want Royalty to be like North West
0,"7 Questionable Details About Taylor Swift And Joe Alwyn's Relationship, Including Her ""Military-Like Mission"" To Keep It Under Wraps"
0,Lopez /López (accent on people's names)
0,Nicole Kidman and Prince Harry named sexiest redheads
0,Jennifer Lawrence Says ‘Mother!’ Led to Darren Aronofsky Split
0,Kristen Stewart is usual scowling self on night out with Robert Pattinson
0,Johnny Depp Settles Lawsuit Against His Former Business Managers
0,Halle Berry (And More) To Join Keanu Reeves In Third 'John Wick' Flick
0,On Air with Ryan Seacrest
0,Swift calls out label for being 'nervous' over pop album
0,Kanye West & Kim Kardashian Are Having ‘Best Sex of their Lives’: He’s So Attracted To Her
0,Kylie Jenner slams 'altered' photos amid pregnancy rumors
0,Kylie Jenner Jenner Kris Life Of Kylie
0,Pictures of Selena Gomez Over the Years
0,Katy Perry & Orlando Bloom Reportedly ‘Back On’ After ‘Robsten’ Parties Together In LA
0,Ben Affleck & Jennifer Garner File For Divorce Amid Reconciliation Rumors
0,Josh Duhamel Gushes Over Jennifer Garner After Dating Rumors: ‘She’s An Incredible Woman’
0,"HollywoodLife Flip-Flops On Prince Harry, Meghan Markle Engagement"
0,Anne Hathaway Angering ‘Barbie’ Movie Producers With Demands?
0,Prince Charles Ordering Camilla Parker Bowles To Get Plastic Surgery To Save Marriage 
0,Kris Jenner ‘Impressed’ By How Travis Scott Is Stepping Up & Taking Care Of Stormi & Kylie
0,50 Celebrities React to Donald Trump's Immigration Order
0,Sean Spicer Emmys Moment: See Celebrity Reactions
0,"Kim Kardashian and Kanye West Not Victims of Swatting, LAPD Clarifies"
0,"Biggest Engagement Rings Of 2017 — Cardi B, Caroline Wozniacki & More Celeb Diamond Bling"
0,Anna Wintour Net Worth
0,Did Miley Cyrus get mad at Liam Hemsworth for refusing to wear his promise ring?
0,The Queen ‘absolutely FUMING’ over fake Prince Philip death rumours
0,Justin Bieber RUINS Selena Gomez Reunion? – Kendall Jenner QUITS Modeling? (Rumor Patrol) & video
0,Marry Me! Justin Bieber To Propose To Selena Over Christmas
0,Ryan Seacrest Relieved Kim Kardashian to Fill in For Kelly Ripa On Live!
0,Did Gwen Stefani Call Off Wedding To Blake Shelton Because Of 'Cheating'?
0,Tyga & Scott Disick Party All Night: Bonding After Being Dumped By Kardashians?
0,Gwen Stefani Finding the Inspiration to have Another Baby from Janet Jackson!! Is the Story true? Find out what Gossip Cop has to say about it! – Married Biography
0,Craig Morgan Suing Life Jacket Maker Over Son’s Death
0,"Brad Pitt Going Back To School To Impress Professor Girlfriend, Neri Oxman!"
0,Brad Pitt Could Get A Full-Time Kid In Custody Battle
0,Are David & Victoria Beckham Divorcing? The Soccer Star Shut Down The Rumors
0,Taylor Swift Hits Back at Tabloids
0,"Mystery Man (Dream Man, #1)"
0,"Travis Scott, Kylie Jenner’s Boyfriend Split Rumors: No Break Up"
0,Drew Barrymore! Gisele Bündchen! Miley Cyrus! All the Stars Who Are Honoring International Women's Day
0,Eddie Cibrian Cheated On Both LeAnn Rimes & Brandi Glanville — Report
0,"Of course, the Oscars had plenty of political moments"
0,  Blake Shelton  Gwen Stefani Marriage Plans In Crisis In Crisis 
0,Queen Elizabeth Upset Meghan Markle’s Ex-Husband Is Making Royal-Inspired Sitcom?
0,Kim Kardashian Apparently Can’t Wait Until Khloé Leaves Tristan Thompson
0,Kelly Osbourne on addiction: 'People need to know rehab doesn't fix you' Video
0,A plastic surgeon weighs in on all of the procedures Kylie Jenner might have had done
0,"Blake Shelton & Gwen Stefani Hoping Exes Miranda Lambert, Gavin Rossdale Are Happy And Have Children In Their Future Relationships"
0,Pamela Anderson and Julian Assange: Details emerge on their unlikely relationship
0,25 Shocking Celebrity Weight Changes
0,Brad Pitt and Jennifer Aniston's second wedding joy
0,Gal Gadot Porn Videos
0,Mass-Media: Brad Pitt Broke Up with Ella Purnell for Princess of Monaco
0,Rihanna: How She Really Feels About Chris Brown Publicly ‘Name Checking Her’
0,"Cory Booker Not Father Of Mindy Kaling’s Baby, Despite Report"
0,Ewan McGregor Scraps UK Talk Show Visit Over Piers Morgan Women’s March Barbs
0,Brad Pitt and Angelina Jolie divorce: Selena Gomez ‘shamelessly flirted’ with Ptt at Gold Globes
0,Brad Pitt: A Life So Large
0,Jennifer Aniston’s Mother’s Caregiver Writing Tell-All Book To ‘Expose’ Actress
0,Drew Barrymore Is Secretly Having Sleepovers With Ex-Husband Will Kopelman
0,Jason Aldean Net Worth
0,Are Katy Perry & The Weeknd Dating? The Two Got Dinner & Immediately Set Off Rumors
0,"Jamie Foxx Is ""Upset"" That Katie Holmes and Joshua Jackson Are Talking Again (EXCLUSIVE)"
0,Watch Linkin Park's Chester Bennington Tribute Concert Live Stream
0,Justin Theroux and Aubrey Plaza: Intriguing New Couple Alert? – Wireler
0,Liam Payne And Cheryl Cole Reportedly Fighting Over Baby Names
0,Selena Gomez and Justin Bieber baby news
0,Hollywood's Expectant Moms: Inside Mindy Kaling's Private and Solo Journey to Baby
0,Brad Pitt's custody victory over Angelina Jolie
0,Blake Shelton Calls Meeting Gwen Stefani 'a Miracle' After 'Hitting Rock Bottom'
0,Kim Khloe Kourtney Kardashian slammed for ‘wearing fur’
0,Throwback Alert! Relive Pippa Middleton's Scene-Stealing Appearance at Kate Middleton's Wedding
0,"Nina Dobrev, Nikki Reed and Ian Somerhalder Have Been Friends All Along"
0,Selena Gomez & Justin Theroux May Be Dating And Jennifer Aniston Is Freaking Out
0,"Emma Stone, Justin Theroux Caught Showing PDA? #emmastone #emmastoneofficial #emmastones #emmastonearmy #emmastoneandandrewgarfield #e…"
0,Rihanna Has Been On And Off With Hassan Jameel For Two Years — Surprising Revelations Mean It Is Over For Chris Brown
0,OWN Rearranges the Deck Chairs; Malia Obama's Redacted Spring Break
0,"Katherine McPhee and David Foster engaged, make May-December romance official"
0,Kim Kardashian Gets Hysterical Over Lost Earring on Kardashians
0,Kylie Jenner
0,Are A-Listers Like Bradley Cooper Self Tanning?
0,"Jamie Foxx Is ""Upset"" That Katie Holmes and Joshua Jackson Are Talking Again (EXCLUSIVE)"
0,Trump Rescinds Rules on Bathrooms for Transgender Students
0,Angelina Jolie is 'cold' and Will Smith 'fake nice'
0,Did Brad Pitt Cause Tension in Jennifer Aniston and Justin Theroux's Marriage? on E! News
0,Brad Pitt Threatening To Have Angelina Jolie Committed To Psych Ward 
0,Brad Pitt ‘Fears Falling In Love Again’ After Angelina Jolie Divorce: Keeping It ‘Casual’ With Co-Star
0,Eric Johnson Net Worth
0,"Watch Super Bowl LII: Patriots vs Eagles, Stream live, date and time"
0,Khloe Kardashian Done
0,Kylie Jenner slams claim Kris is guiding Travis Scott and Kanye West
0,Kim Kardashian: Nude Cookbook on the Way?!?
0,Beyonce & Jay-Z’s Reported Baby Gift For Kim & Kanye West Costs $23k – Hollywood Life
0,"J-Rod! Jennifer Lopez and Alex Rodriguez on Love, Beauty, and Redemption"
0,Report: Obama Pleads With Jay-Z to Prevent Other Hip Hop Artists Meeting With Trump
0,The Scenes From Lifetime's 'Harry and Meghan' Movie That Probably Didn't Happen In Real Life
0,"Cher Not Worried Chaz Bono Will Die From Weight Issues, Despite Fake News Story"
0,Ben Affleck Reportedly Begging Jennifer Garner For Second Shot At Love: Will She Go Back To Him?
0,Crushing On Chris! Inside Angelina Jolie’s Secret Plan To Woo Heartthrob Hemsworth
0,Why did Selena Gomez and Justin Bieber break up?
0,"Angelina Jolie reveals Bell's Palsy diagnosis, breaks silence on divorce from Brad Pitt"
0,Fans React: U2 Cancels St. Louis Concert Amid Police Protests
0,Fergie and Josh Duhamel split
0,"Ben Affleck Was on a 'Bender' Before Jennifer Garner Took Him to Rehab, Source Says"
0,Tom Selleck Weighs In on the 'Magnum P.I.' Reboot — And If He'll Make a Cameo
0,Shapeshifting
0,Teri Hatcher Broke And Homeless
0,Camilla Warned Meghan Markle About Marrying To Prince Harry
0,Is Kathy Griffin’s Career Over? Top Crisis Managers Weigh In
0,Katy Perry ends six year beef with Calvin Harris
0,"Fergie Gives Birth: Singer, Josh Duhamel Welcome Baby Boy Axl Jack"
0,Property Brothers' Drew Scott Is Engaged to Linda Phan
0,"Tess Ward dumped Harry Styles because she 'still has feelings for an ex', apparently"
0,Why Did Blake Shelton Make Gwen Stefani Cry?
0,Rihanna: Boyfriend Hassan Jameel Warning Chris Brown to Stay Away?!
0,Jesse Plemons Skipped Kirsten Dunst’s Movie Premiere To Avoid Wedding Questions?
0,Pregnant Kourtney Kardashian Hangs out With Justin Bieber Amid Baby Daddy Drama
0,Hugh Hefner's wife Crystal Harris 'will inherit nothing'
0,'This is McCarthyism!': Trump accuses Obama of 'wire-tapping' his office before election
0,Gwen Stefani: Dumped By Blake Shelton! Blindsided and Heartbroken!
0,This is why Kim Kardashian and Kanye West don't smile
0,15 Secrets Behind Nina Dobrev And Ian Somerhalder’s Relationship
0,Is Chris Hemsworth breaking up the Ben Affleck-Matt Damon friendship?
0,Watch The Gong Show TV Show
0,Marc Anthony Net Worth
0,Lena Dunham Gets Affectionate with a New Guy 3 Months After Jack Antonoff Breakup
0,Colin Jost calls Scarlett Johansson his 'girlfriend' for first time
0,Biggest George Clooney Rumors
0,Everyone Donald Trump Has Called 'Overrated' on Twitter
0,Adam Sandler cuts a relaxed figure as he hangs out with his family
0,What's up with Nicole Kidman?
0,Beyonce and Jay-Z hang out backstage with DJ Khaled and his son Asahd
0,Kim Kardashian on Why She Won’t Have More Than Four Kids
0,Kris Jenner Talks Season 15 of ‘Keeping Up With the Kardashians’
0,Full List of 2018 Oscar Nominations – Variety
0,Kim Kardashian says Caitlyn Jenner lied about her father’s reasons for defending O.J. Simpson
0,US report: Brad Pitt wins the kids
0,Scott Disick Pinches Sofia Richie’s Butt As She Giggles During Date 3 Weeks After Cheating Rumors
0,"Brad Pitt, Angelina Jolie and the search for the perfect PR Hollywood divorce"
0,O.J. Simpson Desperate To Date Kris Jenner When Out of Prison — Report
0,No Cinderella: Margo Jefferson on the real Meghan Markle
0,Meghan Markle's wedding dress is going on display — here's how to see it in person
0,21 best Selena Gomez Hollywood Life images on Pinterest
0,"Malibu crash involving Bruce Jenner leaves 1 dead, 5 injured"
0,"Anna Faris Uncomfortable Watching Chris Pratt, Zoe Saldana Romantic Scenes?"
0,Madonna allowed to adopt four-year-old twin girls from Malawi who lost mother
